sample_label,device_type,horizon_minutes,target_final_passed_bases,device_is_promethion,minimum_q_score_setting,planned_run_limit_hours,series_resolution_seconds,observed_through_seconds,observed_estimated_bases,observed_passed_bases,observed_failed_bases,observed_total_reads,observed_passed_reads,observed_failed_reads,observed_passed_base_fraction,observed_passed_read_fraction,observed_mean_passed_read_length,observed_mean_failed_read_length,observed_mean_estimated_read_length,observed_basecalling_completion_ratio,observed_average_estimated_bases_per_hour,observed_average_passed_bases_per_hour,observed_recent_estimated_bases_per_hour,observed_recent_passed_bases_per_hour,observed_qscore_lower,observed_qscore_mode,observed_qscore_upper,observed_translocation_q25,observed_translocation_median,observed_translocation_q75,observed_temperature,observed_target_temperature,pore_activity_sequencing_percent,pore_activity_pore_available_percent,pore_activity_unavailable_percent,pore_activity_inactive_percent,pore_activity_unclassified_percent,pore_scan_pore_available_count,pore_scan_reserved_pore_count,pore_scan_unavailable_count,pore_scan_saturated_count,pore_scan_zero_count,pore_scan_inactive_count
Sample30,MINION_MK1D,120,5312543,0,10,72.0,1800.0,7200.0,38046226.0,422686.0,1002897.0,9358.0,2352.0,6873.0,0.29650044928986946,0.25133575550331266,179.71343537414967,145.91837625491053,4065.6364607822184,0.03746976112689863,19023113.0,211343.0,40213606.0,251120.0,2.52061248,7.1375,10.3337746,325.72995,362.577881,394.007324,34.92754732767741,0.0,15.405185221354168,21.91707107204861,5.386212196180556,51.58764398871528,5.70388752170139,488.0,87.0,362.0,87.0,794.0,230.0
Sample32,MINION_MK1D,30,0,0,,72.0,1800.0,1800.0,53678794.0,,,63975.0,,,,,,,839.0589136381399,,107357588.0,,,,,,,,,,34.92755546569824,0.0,37.783657183159725,26.669433940972223,11.39464162326389,16.1889380859375,7.963329166666667,1303.0,4.0,294.0,17.0,166.0,264.0
Sample32,MINION_MK1D,60,0,0,,72.0,1800.0,3600.0,136668287.0,,,136072.0,,,,,,,1004.3821432770886,,136668287.0,,165978986.0,,,,,,,,34.926278305053714,0.0,45.69297224392361,27.342352083333335,10.656360199652779,11.743931163194445,4.564384309895834,1303.0,4.0,294.0,17.0,166.0,264.0
Sample32,MINION_MK1D,120,0,0,,72.0,1800.0,7200.0,321773757.0,,,267560.0,,,,,,,1202.622802362087,,160886878.5,,192357392.0,,,,,,,,34.9274035135905,0.0,40.048365842013894,24.649950499131947,9.566732747395834,16.762766688368057,8.972184223090279,1184.0,77.0,293.0,20.0,181.0,293.0
Sample35,MINION_MK1D,30,241502124,0,10,72.0,600.0,1800.0,17498505.0,11644675.0,1233706.0,23349.0,18384.0,4654.0,0.9042033311485349,0.78735706025954,633.4135661444734,265.0850880962613,749.4327380187589,0.7359703586106356,34997010.0,23289350.0,52328604.0,36502260.0,9.625,14.125,19.875,373.204926,397.75528,416.073669,35.67680282592774,0.0,35.2486478515625,13.997905989583334,9.731118815104168,35.713208203125,5.3091191406250005,1046.0,0.0,85.0,7.0,760.0,150.0
Sample35,MINION_MK1D,60,241502124,0,10,72.0,600.0,3600.0,60891871.0,40461319.0,3448168.0,65560.0,53378.0,11704.0,0.921471002382697,0.8141854789505796,758.0148937764623,294.6144907723855,928.7960799267846,0.7211058927717955,60891871.0,40461319.0,95184150.0,67314666.0,10.625,15.875,20.875,375.510376,398.826508,416.458038,35.676726531982425,0.0,36.666677539062505,11.965285872395834,9.623380403645834,36.5587033203125,5.185952864583333,1046.0,0.0,85.0,7.0,760.0,150.0
Sample35,MINION_MK1D,120,241502124,0,10,72.0,600.0,7200.0,174727368.0,120947399.0,9075789.0,163169.0,136412.0,25951.0,0.9301986888677118,0.8360166453186574,886.6331334486702,349.7279102924743,1070.8367888508233,0.7441489532424022,87363684.0,60473699.5,118479558.0,96397596.0,10.875,17.125,21.375,376.774384,399.946289,417.299255,35.675665283203124,0.0,38.8642341796875,9.991191731770833,9.589011197916667,36.906122265625,4.649440625,946.0,0.0,123.0,6.0,825.0,148.0
Sample37,MINION_MK1D,30,185750687,0,10,72.0,1800.0,1800.0,10005984.0,6008520.0,1337145.0,10663.0,6020.0,3795.0,0.8179681485610901,0.564569070618025,998.0930232558139,352.34387351778656,938.3835693519648,0.7341271982845465,20011968.0,12017040.0,,,5.53333426,12.4227333,16.430336,369.896576,403.040863,435.656982,34.877679189046226,0.0,14.238171440972224,15.03688634982639,6.037774934895833,59.76546371527778,4.921703559027778,472.0,130.0,452.0,56.0,190.0,748.0
Sample37,MINION_MK1D,60,185750687,0,10,72.0,1800.0,3600.0,24379509.0,16654154.0,3419953.0,25489.0,15800.0,9239.0,0.8296336170769639,0.6198752402997372,1054.0603797468355,370.1648446801602,956.4717721370002,0.8234007912136376,24379509.0,16654154.0,28747050.0,21291268.0,6.45685101,12.5388031,16.125,364.557861,398.324341,432.282501,34.68258260091146,0.0,13.872507009548611,15.93484787326389,5.233376367187501,62.99364841579862,1.965620334201389,472.0,130.0,452.0,56.0,190.0,748.0
Sample37,MINION_MK1D,120,185750687,0,10,72.0,1800.0,7200.0,61627862.0,36435261.0,12220893.0,54050.0,31599.0,22126.0,0.748831504438267,0.5846253469010175,1153.0510775657458,552.3317816143904,1140.2009620721553,0.7895155278954834,30813931.0,18217630.5,42149238.0,17078114.0,3.28825784,10.8539906,14.8539906,350.522461,392.805817,426.760742,34.68291893005371,0.0,13.315818250868055,14.892248155381946,5.389363715277778,62.43909845920139,3.9634714192708334,424.0,171.0,479.0,61.0,221.0,692.0
Sample38,MINION_MK1D,30,9646979,0,10,72.0,1800.0,1800.0,6562478.0,140770.0,371141.0,2021.0,432.0,1359.0,0.27498920710826685,0.21375556655121228,325.85648148148147,273.0986019131714,3247.1439881246906,0.07800574721926687,13124956.0,281540.0,,,3.62131262,6.48930693,9.5741148,319.733765,372.445709,392.534637,34.937921142578126,0.0,22.214220681423612,16.266042144097224,11.278458984375,44.04844077690972,6.192837413194445,877.0,19.0,158.0,23.0,783.0,188.0
Sample38,MINION_MK1D,60,9646979,0,10,72.0,1800.0,3600.0,14711559.0,318176.0,787838.0,4012.0,781.0,3009.0,0.2876780944906665,0.19466600199401796,407.3956466069142,261.82718511133265,3666.889082751745,0.07517993164422615,14711559.0,318176.0,16298162.0,354812.0,4.48271561,7.1352706,9.28043556,278.659698,376.753632,442.409882,34.93753331502278,0.0,19.15497758246528,9.805736306423611,7.4949021484375,61.148539192708334,2.395844769965278,877.0,19.0,158.0,23.0,783.0,188.0
Sample38,MINION_MK1D,120,9646979,0,10,72.0,1800.0,7200.0,43985909.0,514636.0,1397080.0,7973.0,1323.0,6120.0,0.2692010737996648,0.16593503072870938,388.9916855631141,228.281045751634,5516.858020820268,0.043462009617670966,21992954.5,257318.0,31366372.0,262100.0,5.08423185,6.875,8.77038383,326.128357,362.864288,403.971,34.93868713378906,0.0,23.182956401909724,12.920543880208333,8.13775407986111,49.8839935546875,5.874752083333334,725.0,39.0,212.0,23.0,865.0,184.0
Sample39,MINION_MK1D,30,198874512,0,10,72.0,1800.0,1800.0,4909926.0,1998270.0,600458.0,9905.0,5970.0,3481.0,0.7689415744933675,0.6027258960121151,334.7185929648241,172.49583453030738,495.7017667844523,0.5292804820276313,9819852.0,3996540.0,,,6.15404606,12.4945946,16.3152027,367.60611,393.067108,434.932037,34.92733306884766,0.0,21.90137660590278,34.00065466579861,8.372995269097222,29.557745855034725,6.167227604166667,1156.0,1.0,310.0,39.0,117.0,425.0
Sample39,MINION_MK1D,60,198874512,0,10,72.0,1800.0,3600.0,14673680.0,5294359.0,1446420.0,23322.0,14763.0,8092.0,0.785422426695787,0.633007460766658,358.6235182550972,178.74691052891745,629.177600548838,0.4593789015434438,14673680.0,5294359.0,19527508.0,6592178.0,6.62773752,12.2938957,16.4580784,363.201,396.147156,433.729218,34.988379287719724,0.0,23.52798055555556,36.38315190972222,7.923181944444445,29.164495659722224,3.001189930555556,1156.0,1.0,310.0,39.0,117.0,425.0
Sample39,MINION_MK1D,120,198874512,0,10,72.0,1800.0,7200.0,37033690.0,13241162.0,3172932.0,53522.0,35621.0,17291.0,0.8066946613075324,0.6655394043570868,371.7234777238146,183.50193742409346,691.933971077314,0.44322059184488505,18516845.0,6620581.0,26359906.0,8069044.0,7.28118706,12.5924072,16.7855377,364.63385,398.057343,436.348907,35.04368387858073,0.0,20.967812868923613,30.796287413194445,7.66612521701389,32.97144563802083,7.5983288628472225,1019.0,93.0,358.0,40.0,136.0,402.0
Sample43,MINION_MK1D,30,67332969,0,10,72.0,600.0,1800.0,69031050.0,12753174.0,29792687.0,16958.0,2973.0,13843.0,0.29975122609459004,0.1753154853166647,4289.664984863774,2152.1842808639744,4070.707040924637,0.6163293329595885,138062100.0,25506348.0,146638518.0,30259830.0,2.875,8.375,11.125,300.661041,356.980042,420.083466,35.936024856567386,0.0,30.273158789062503,4.544584440104167,25.803423372395834,34.0112365234375,5.367596875,804.0,0.0,628.0,53.0,465.0,98.0
Sample43,MINION_MK1D,60,67332969,0,10,72.0,600.0,3600.0,134640959.0,28031949.0,59620805.0,32591.0,6787.0,25673.0,0.31980682546494776,0.20824767573870087,4130.2414910859,2322.315467611888,4131.231290847167,0.6510110641740156,134640959.0,28031949.0,121848546.0,29705916.0,6.125,8.875,11.125,296.694977,353.502411,413.843445,35.93805923461914,0.0,24.581179817708335,5.085462955729167,22.071849934895834,43.76504869791667,4.49645859375,804.0,0.0,628.0,53.0,465.0,98.0
Sample43,MINION_MK1D,120,67332969,0,10,72.0,600.0,7200.0,241329566.0,59354710.0,104432870.0,58024.0,14943.0,42893.0,0.36238834470843273,0.2575313663311733,3972.0745499565014,2434.7299093092115,4159.133565421205,0.678688412343144,120664783.0,29677355.0,105169122.0,35444766.0,6.375,9.625,12.375,312.194305,370.888947,429.28537,35.93798141479492,0.0,20.5324857421875,5.851335026041667,18.219199869791666,51.40241432291667,3.9945650390625,452.0,5.0,806.0,54.0,629.0,102.0
Sample44,MINION_MK1D,30,2006109,0,10,72.0,1800.0,1800.0,1614703.0,168015.0,500564.0,1926.0,198.0,1637.0,0.25130164124209703,0.102803738317757,848.560606060606,305.78130726939526,838.371235721703,0.414056950411314,3229406.0,336030.0,,,2.96443415,4.05386829,6.84592438,365.861389,408.138092,432.528717,34.92746175130208,0.0,3.3514133897569445,18.084297222222222,4.976817447916667,68.97027855902778,4.617193381076389,244.0,0.0,1562.0,30.0,97.0,115.0
Sample44,MINION_MK1D,60,2006109,0,10,72.0,1800.0,3600.0,2948142.0,393375.0,905876.0,3756.0,500.0,3184.0,0.3027705962897085,0.13312034078807242,786.75,284.50879396984925,784.9153354632588,0.44070163513155064,2948142.0,393375.0,2666878.0,450720.0,3.21226668,4.63913298,8.30186653,369.519165,407.301025,442.624207,34.92611338297526,0.0,1.8218073567708335,20.360800954861112,3.4591658854166667,73.39462608506945,0.9635997178819445,244.0,0.0,1562.0,30.0,97.0,115.0
Sample44,MINION_MK1D,120,2006109,0,10,72.0,1800.0,7200.0,5139147.0,854905.0,1703376.0,7452.0,1175.0,6207.0,0.33417165667102244,0.15767579173376275,727.5787234042554,274.42822619623007,689.6332528180354,0.49780265090685283,2569573.5,427452.5,1834754.0,547536.0,2.969203,4.87111807,10.3630953,376.404785,413.801086,440.602814,34.87245508829753,0.0,2.2384856119791667,19.738485937500002,3.512634657118056,70.99198982204861,3.518403971354167,222.0,39.0,1442.0,38.0,124.0,183.0
Sample46,MINION_MK1D,30,36455726,0,10,,1800.0,1800.0,5357032.0,1594920.0,466761.0,6077.0,4128.0,1851.0,0.7736017356710374,0.6792825407273325,386.3662790697674,252.1669367909238,881.5257528385716,0.3848550839345369,10714064.0,3189840.0,,,5.79098368,14.15168,19.0365162,354.042389,377.822266,398.963135,34.938385772705075,0.0,24.60836095920139,30.490039561631946,10.3040623046875,27.690215538194447,6.907321636284722,1006.0,9.0,262.0,133.0,502.0,136.0
Sample46,MINION_MK1D,60,36455726,0,10,,1800.0,3600.0,13485188.0,3551890.0,787282.0,12206.0,8621.0,3518.0,0.8185640025332022,0.706291987547108,412.0044078413177,223.78681068789083,1104.799934458463,0.32177319292841894,13485188.0,3551890.0,16256312.0,3913940.0,7.5835309,14.9603081,19.6404037,361.880493,389.246,411.977417,35.34844385782878,0.0,20.941434657118055,32.58160490451389,9.001263563368056,33.76197204861111,3.713724826388889,1006.0,9.0,262.0,133.0,502.0,136.0
Sample46,MINION_MK1D,120,36455726,0,10,,1800.0,7200.0,35818160.0,7041661.0,1528345.0,23404.0,16810.0,6415.0,0.821663485416463,0.7182532900358913,418.89714455681144,238.24551831644584,1530.4289864980344,0.2392642726482879,17909080.0,3520830.5,32548950.0,3398700.0,7.92656565,14.5279045,19.4675903,367.313293,400.045258,420.509216,35.68684310913086,0.0,16.1156869140625,26.919399305555558,7.720172677951389,42.100353993055556,7.144387109375001,732.0,27.0,363.0,137.0,646.0,143.0
Sample48,MINION_MK1D,30,18039538,0,10,72.0,1800.0,1800.0,4379317.0,124586.0,338600.0,3167.0,858.0,1998.0,0.26897617803646917,0.27091885064730026,145.2051282051282,169.46946946946946,1382.7966529838964,0.10576672115765998,8758634.0,249172.0,,,2.625,7.50356,11.4299297,65.0130386,343.271118,391.500488,34.93863004048665,0.0,27.05214789496528,37.83914930555556,9.006583897569445,18.910468077256944,7.191650824652778,1239.0,3.0,155.0,250.0,139.0,262.0
